Distance_km,Avg_Speed_kmph,Number_of_Signals,Traffic_Level,Weather,Road_Type,Vehicle_Type,Day_of_Week,Time_of_Day,Travel_Time_Minutes
21.01,65.4,6,Medium,Rainy,Highway,Car,Sunday,Afternoon,30.0
22.9,40.3,10,Low,Foggy,Rural Road,Car,Sunday,Evening,45.5
11.87,46.4,3,Medium,Stormy,Highway,Bus,Wednesday,Morning,37.7
3.68,8.0,7,High,Clear,City Road,Car,Sunday,Night,43.2
10.61,21.2,10,Medium,Rainy,City Road,Bike,Tuesday,Morning,40.0
23.81,25.8,14,Medium,Clear,City Road,Truck,Monday,Afternoon,73.3
7.78,21.6,10,Low,Foggy,City Road,Car,Wednesday,Morning,30.5
8.84,15.9,12,High,Clear,City Road,Car,Thursday,Night,45.6
17.85,20.2,12,Low,Foggy,City Road,Bike,Monday,Morning,60.5
8.76,26.5,7,Low,Rainy,City Road,Bus,Tuesday,Afternoon,34.9
11.5,12.3,11,Low,Stormy,City Road,Car,Saturday,Night,68.8
3.13,35.0,10,Low,Clear,City Road,Car,Friday,Afternoon,7.4
23.2,58.1,9,Medium,Rainy,Highway,Bike,Friday,Morning,28.7
17.04,46.8,8,Medium,Rainy,Highway,Truck,Sunday,Morning,39.4
20.22,24.6,8,Low,Stormy,Rural Road,Car,Tuesday,Evening,59.7
6.66,62.1,3,Low,Foggy,Highway,Car,Sunday,Morning,15.3
25.92,41.9,9,Low,Rainy,Rural Road,Truck,Wednesday,Afternoon,49.2
10.92,51.3,5,Medium,Rainy,Highway,Car,Sunday,Evening,20.4
21.17,40.4,13,Low,Clear,City Road,Car,Saturday,Afternoon,34.9
13.88,28.4,8,Medium,Stormy,Rural Road,Bike,Tuesday,Night,45.1
17.46,26.8,15,Low,Clear,City Road,Car,Tuesday,Evening,41.9
14.46,64.7,5,Low,Rainy,Highway,Car,Thursday,Morning,20.3
8.72,64.0,1,Medium,Rainy,Highway,Bike,Thursday,Night,14.7
4.39,23.6,7,Medium,Clear,City Road,Bike,Tuesday,Night,17.1
22.06,73.1,9,Low,Clear,Highway,Bike,Tuesday,Morning,21.3
2.39,36.4,7,Low,Clear,City Road,Car,Sunday,Afternoon,7.1
18.51,8.0,12,High,Foggy,City Road,Bike,Saturday,Afternoon,153.7
22.04,43.6,16,Low,Clear,City Road,Bike,Tuesday,Afternoon,35.5
5.03,29.1,8,Medium,Clear,City Road,Bus,Saturday,Afternoon,24.0
9.0,26.6,9,Medium,Rainy,City Road,Bus,Tuesday,Night,36.9
4.71,76.0,1,Low,Clear,Highway,Bike,Thursday,Evening,3.0
8.0,62.5,1,Medium,Foggy,Highway,Bus,Monday,Night,28.3
20.04,17.0,14,High,Clear,City Road,Bus,Friday,Afternoon,89.8
17.36,52.5,7,High,Clear,Highway,Car,Tuesday,Evening,34.0
16.11,33.9,10,Low,Clear,City Road,Truck,Tuesday,Morning,40.2
9.04,31.7,9,Low,Clear,City Road,Bus,Tuesday,Afternoon,25.0
2.54,68.0,2,Low,Clear,Highway,Car,Tuesday,Evening,3.0
5.46,27.9,3,Medium,Rainy,Rural Road,Car,Monday,Morning,19.0
10.03,29.6,8,Medium,Clear,City Road,Bike,Thursday,Night,24.1
6.15,41.8,9,Low,Clear,City Road,Car,Sunday,Afternoon,15.4
18.62,68.0,7,Low,Clear,Highway,Bike,Wednesday,Morning,17.5
26.36,40.0,10,High,Clear,Rural Road,Bike,Saturday,Night,58.4
13.82,19.5,10,Low,Foggy,City Road,Car,Thursday,Morning,53.2
5.0,30.0,8,Medium,Clear,City Road,Car,Tuesday,Afternoon,20.9
22.49,8.0,15,Medium,Stormy,City Road,Bus,Monday,Morning,195.2
12.2,67.0,6,Low,Clear,Highway,Car,Saturday,Evening,13.1
11.3,54.4,6,Low,Clear,Rural Road,Bike,Monday,Night,16.0
15.38,72.1,7,Low,Clear,Highway,Car,Wednesday,Morning,12.2
5.59,14.6,10,High,Clear,City Road,Car,Monday,Afternoon,38.5
9.12,80.3,5,Low,Rainy,Highway,Bike,Saturday,Afternoon,9.3
10.87,46.4,6,Low,Clear,Rural Road,Car,Sunday,Evening,14.8
13.17,39.6,12,Low,Clear,City Road,Bike,Wednesday,Afternoon,20.9
13.91,43.1,7,Low,Rainy,Rural Road,Bike,Wednesday,Evening,21.5
15.37,13.1,12,Medium,Rainy,City Road,Car,Thursday,Evening,79.1
8.13,16.7,8,Low,Stormy,City Road,Car,Thursday,Morning,43.7
3.9,37.6,0,Medium,Stormy,Highway,Bike,Wednesday,Evening,17.1
9.97,8.0,10,Medium,Rainy,City Road,Bike,Wednesday,Evening,83.5
10.68,18.6,6,High,Foggy,Rural Road,Bike,Tuesday,Night,52.7
3.8,62.8,2,Low,Rainy,Highway,Bus,Tuesday,Evening,14.6
7.88,11.0,10,High,Clear,City Road,Car,Friday,Night,54.8
12.52,22.6,9,Medium,Rainy,City Road,Car,Saturday,Afternoon,52.1
8.59,73.0,1,Low,Clear,Highway,Bike,Saturday,Evening,8.2
12.24,8.0,9,High,Rainy,City Road,Bike,Thursday,Night,111.9
8.38,26.4,2,High,Stormy,Highway,Bus,Saturday,Morning,42.7
15.99,33.1,12,Low,Clear,City Road,Car,Friday,Evening,35.2
6.44,8.0,7,High,Foggy,City Road,Bike,Wednesday,Night,61.0
11.38,41.0,6,Medium,Stormy,Highway,Bike,Wednesday,Evening,30.2
11.69,32.7,12,Medium,Clear,City Road,Car,Thursday,Night,29.2
18.23,54.9,6,High,Clear,Highway,Bike,Wednesday,Afternoon,36.5
9.39,55.6,3,Medium,Foggy,Highway,Bike,Saturday,Night,17.1
26.16,8.0,16,High,Stormy,City Road,Car,Tuesday,Evening,222.5
25.62,74.9,11,Low,Clear,Highway,Car,Monday,Afternoon,21.8
6.68,46.3,0,High,Clear,Highway,Car,Thursday,Morning,19.0
11.19,39.1,6,Medium,Rainy,Rural Road,Truck,Monday,Morning,28.9
5.29,42.8,5,Low,Clear,City Road,Car,Tuesday,Afternoon,12.6
14.72,23.3,10,Medium,Clear,City Road,Car,Wednesday,Night,39.6
8.52,83.5,6,Low,Clear,Highway,Car,Monday,Afternoon,8.3
12.11,76.2,10,Low,Clear,Highway,Car,Tuesday,Afternoon,10.7
9.82,72.0,4,Low,Rainy,Highway,Car,Thursday,Afternoon,12.6
41.54,69.1,14,Low,Rainy,Highway,Bike,Wednesday,Afternoon,41.7
10.47,82.1,4,Low,Rainy,Highway,Car,Sunday,Night,11.5
9.96,26.3,10,Low,Rainy,City Road,Car,Monday,Afternoon,30.5
18.88,71.6,7,Medium,Clear,Highway,Car,Saturday,Afternoon,24.8
20.36,18.6,12,Medium,Clear,City Road,Car,Friday,Evening,78.1
13.09,25.7,10,Medium,Clear,City Road,Car,Friday,Evening,38.1
20.67,81.5,9,Low,Clear,Highway,Bike,Friday,Afternoon,15.3
37.72,13.3,19,High,Clear,City Road,Bike,Monday,Morning,186.9
9.53,25.6,8,Medium,Clear,City Road,Bike,Saturday,Evening,25.2
5.66,43.5,3,Low,Clear,Rural Road,Car,Wednesday,Evening,11.3
14.1,86.6,5,Low,Clear,Highway,Bus,Friday,Evening,17.8
19.63,56.8,6,Medium,Rainy,Highway,Bike,Wednesday,Evening,23.7
25.01,36.2,10,Low,Rainy,Rural Road,Car,Wednesday,Evening,51.9
15.51,13.0,12,Medium,Stormy,City Road,Car,Friday,Night,93.9
11.54,42.2,5,High,Rainy,Highway,Bus,Sunday,Morning,41.0
7.25,27.0,6,Low,Rainy,City Road,Car,Sunday,Morning,21.2
22.11,42.5,15,Low,Clear,City Road,Car,Saturday,Night,40.4
13.46,11.8,11,High,Rainy,City Road,Bike,Thursday,Night,81.9
3.96,34.3,5,Medium,Clear,City Road,Car,Thursday,Afternoon,12.8
31.02,67.8,11,Low,Clear,Highway,Truck,Sunday,Evening,38.9
5.86,25.5,7,High,Clear,City Road,Car,Tuesday,Afternoon,24.6
19.83,64.8,9,High,Clear,Highway,Car,Sunday,Night,32.2
12.86,34.0,10,Medium,Clear,City Road,Car,Friday,Afternoon,29.5
4.13,22.2,7,Medium,Rainy,City Road,Car,Friday,Night,20.3
10.8,43.3,5,Low,Foggy,Rural Road,Bus,Friday,Afternoon,31.6
9.55,70.4,2,Low,Rainy,Highway,Bus,Saturday,Afternoon,17.5
4.71,28.0,6,Medium,Rainy,Rural Road,Truck,Friday,Evening,23.4
14.7,29.1,12,Low,Clear,City Road,Bike,Monday,Afternoon,31.2
18.32,29.7,11,Medium,Clear,City Road,Car,Saturday,Morning,47.8
11.22,44.9,5,High,Rainy,Highway,Car,Saturday,Morning,28.6
9.41,71.6,6,Low,Clear,Highway,Car,Sunday,Night,13.2
15.32,34.4,11,Medium,Clear,City Road,Truck,Sunday,Afternoon,36.4
2.09,47.0,5,Low,Clear,Rural Road,Car,Sunday,Morning,6.1
8.81,36.0,8,High,Stormy,Highway,Car,Monday,Night,32.9
9.19,74.5,4,Low,Rainy,Highway,Bike,Friday,Night,12.8
11.42,21.3,9,Medium,Clear,City Road,Bus,Sunday,Afternoon,43.2
4.54,53.9,1,Medium,Rainy,Highway,Car,Sunday,Evening,13.5
3.35,30.4,4,Medium,Clear,City Road,Bike,Thursday,Night,7.9
6.19,37.4,6,Medium,Clear,Rural Road,Bike,Sunday,Morning,10.8
14.57,23.2,11,Medium,Clear,City Road,Bus,Sunday,Afternoon,50.5
9.1,24.2,10,Medium,Clear,City Road,Car,Monday,Evening,30.9
6.17,8.0,10,High,Rainy,City Road,Car,Sunday,Evening,64.8
28.4,57.0,9,High,Clear,Highway,Car,Friday,Afternoon,43.5
9.4,27.9,4,Medium,Rainy,Rural Road,Bus,Friday,Morning,31.5
11.46,58.4,9,Medium,Clear,Rural Road,Truck,Tuesday,Night,27.3
21.92,59.4,9,Low,Rainy,Highway,Bike,Sunday,Evening,29.1
12.4,25.9,5,High,Rainy,Rural Road,Car,Wednesday,Night,42.2
15.23,63.2,5,Medium,Rainy,Highway,Car,Wednesday,Afternoon,25.2
7.05,24.1,8,Medium,Rainy,City Road,Bike,Wednesday,Evening,27.8
11.81,63.9,7,Low,Stormy,Highway,Car,Sunday,Afternoon,23.8
26.44,18.0,16,High,Clear,City Road,Bike,Thursday,Afternoon,102.6
14.18,16.5,11,Medium,Rainy,City Road,Bus,Monday,Evening,72.4
13.08,16.7,13,Medium,Rainy,City Road,Car,Monday,Night,63.0
9.93,35.7,12,Low,Clear,City Road,Car,Sunday,Night,15.9
5.25,20.6,4,High,Clear,Rural Road,Car,Tuesday,Evening,28.7
20.65,51.8,13,Low,Clear,Rural Road,Car,Saturday,Morning,29.6
10.96,33.2,9,Low,Clear,City Road,Bike,Monday,Evening,22.0
7.64,54.0,5,High,Clear,Highway,Car,Sunday,Night,23.2
4.92,21.9,7,High,Clear,City Road,Car,Friday,Afternoon,18.9
13.45,14.1,12,Low,Rainy,City Road,Car,Tuesday,Evening,67.6
5.75,23.5,8,Medium,Clear,City Road,Car,Sunday,Afternoon,24.2
20.75,8.0,14,Medium,Foggy,City Road,Bike,Wednesday,Morning,165.2
7.9,13.0,12,High,Clear,City Road,Bike,Sunday,Evening,45.5
11.96,21.5,12,Medium,Rainy,City Road,Bike,Friday,Afternoon,47.1
14.03,26.8,12,Medium,Clear,City Road,Bike,Thursday,Evening,32.0
13.15,21.5,9,Medium,Clear,City Road,Car,Monday,Evening,43.6
18.35,50.1,9,Medium,Clear,Rural Road,Bike,Tuesday,Night,30.2
8.32,8.0,7,High,Rainy,City Road,Car,Monday,Night,79.0
11.51,24.0,11,Medium,Clear,City Road,Truck,Saturday,Evening,42.7
15.69,55.3,8,Low,Stormy,Highway,Car,Monday,Morning,30.7
25.05,8.7,14,High,Clear,City Road,Car,Monday,Evening,189.2
17.65,55.4,10,High,Rainy,Highway,Car,Monday,Night,33.7
19.46,8.0,15,High,Clear,City Road,Bus,Sunday,Afternoon,165.8
9.54,63.7,5,Low,,Highway,Car,Sunday,Evening,14.7
14.18,81.0,7,Low,Clear,Highway,Truck,Saturday,Night,14.5
23.09,70.2,8,Medium,Clear,Highway,Car,Monday,Afternoon,28.4
11.19,78.0,5,Low,Clear,Highway,Bus,Thursday,Afternoon,9.5
14.23,12.3,9,High,Clear,City Road,Bike,Sunday,Afternoon,80.7
4.27,37.7,7,Medium,Clear,City Road,Car,Monday,Night,14.5
16.52,11.6,12,Medium,Stormy,City Road,Car,Saturday,Afternoon,102.1
13.0,67.2,3,High,Clear,Highway,Car,Monday,Afternoon,18.6
15.93,24.6,12,Medium,Clear,City Road,Bus,Saturday,Evening,52.2
9.67,12.6,11,Low,Stormy,City Road,Bus,Thursday,Evening,67.0
3.7,72.8,2,Medium,Clear,Highway,Car,Sunday,Night,8.1
16.95,30.5,8,Medium,Clear,City Road,Car,Wednesday,Night,38.0
7.6,28.7,8,Medium,Rainy,City Road,Car,Saturday,Night,26.2
4.55,52.2,1,Medium,Foggy,Highway,Car,Saturday,Night,15.3
12.51,8.0,9,High,Rainy,City Road,Bike,Wednesday,Afternoon,109.1
26.82,46.8,14,Medium,Clear,Rural Road,Car,Friday,Afternoon,42.5
6.95,33.2,1,Low,Stormy,Rural Road,Car,Thursday,Evening,23.3
7.77,38.4,3,Medium,Clear,Rural Road,Bus,Thursday,Evening,23.6
17.41,8.0,13,Medium,Stormy,City Road,Bike,Saturday,Evening,149.4
10.18,22.6,9,Low,Foggy,City Road,Bus,Tuesday,Morning,41.8
16.92,52.6,6,Low,Foggy,Highway,Car,Monday,Morning,31.3
9.87,63.4,8,Medium,Clear,Highway,Truck,Thursday,Morning,21.0
9.0,86.6,5,Low,Clear,Highway,Bike,Saturday,Afternoon,4.4
7.15,8.0,10,High,Rainy,City Road,Bike,Tuesday,Night,67.2
13.64,33.5,12,Low,Clear,City Road,Car,Wednesday,Night,29.4
7.12,38.3,9,Low,Clear,City Road,Bus,Friday,Night,16.7
8.7,8.0,11,High,Foggy,City Road,Bike,Thursday,Evening,82.6
20.57,8.0,16,High,Rainy,City Road,Bus,Friday,Morning,180.2
33.09,45.2,11,Low,Clear,Rural Road,Bike,Thursday,Night,51.3
14.59,41.8,11,Low,Clear,City Road,Bus,Saturday,Night,25.5
21.0,75.3,8,Low,Clear,Highway,Bike,Sunday,Night,18.4
9.29,47.5,5,Medium,Clear,Rural Road,Truck,Thursday,Afternoon,21.4
10.01,24.9,11,Medium,Clear,City Road,Car,Thursday,Morning,31.2
12.84,66.8,6,Low,Foggy,Highway,Car,Tuesday,Night,21.4
7.66,67.2,7,Low,Rainy,Highway,Bike,Thursday,Morning,11.8
8.93,35.7,11,Medium,Clear,City Road,Bike,Saturday,Night,23.3
16.6,14.2,14,High,Clear,City Road,Bike,Thursday,Night,84.8
11.66,30.3,4,Medium,Rainy,Rural Road,Bike,Friday,Night,35.0
10.6,57.1,4,Medium,Foggy,Highway,Bike,Wednesday,Evening,20.4
10.32,47.1,5,Low,Foggy,Rural Road,Bus,Friday,Night,26.0
6.22,57.8,6,Low,Clear,Rural Road,Car,Friday,Night,6.9
12.57,24.5,9,Low,Foggy,City Road,Bus,Thursday,Night,43.5
7.66,59.9,2,High,Clear,Highway,Car,Sunday,Afternoon,19.3
4.25,57.2,1,High,Clear,Highway,Bike,Sunday,Evening,14.1
5.72,42.4,7,High,Foggy,Highway,Bus,Tuesday,Night,32.4
10.43,47.5,4,High,Clear,Highway,Car,Tuesday,Morning,21.8
15.87,41.7,7,High,Clear,Highway,Car,Sunday,Morning,33.1
18.16,26.4,7,High,Clear,Rural Road,Car,Wednesday,Afternoon,58.0
4.95,34.6,9,Low,Clear,City Road,Bike,Wednesday,Afternoon,9.1
15.02,80.7,4,Low,Clear,Highway,Car,Saturday,Night,16.4
27.71,30.3,14,Low,Rainy,City Road,Car,Friday,Night,64.1
18.66,63.9,6,Medium,Clear,Highway,Bus,Monday,Morning,25.5
12.31,75.5,6,Low,Clear,Highway,Car,Monday,Afternoon,9.9
12.87,42.2,4,High,Foggy,Highway,Bike,Saturday,Night,31.6
12.11,17.2,13,Medium,Clear,City Road,Bike,Saturday,Evening,48.8
8.57,50.9,5,Medium,Foggy,Highway,Car,Wednesday,Morning,19.6
19.15,23.8,12,Low,Clear,City Road,Car,Sunday,Evening,58.1
6.53,32.8,10,Low,Rainy,City Road,Truck,Monday,Night,22.9
12.67,38.6,10,Low,Clear,City Road,Bike,Sunday,Afternoon,23.3
4.21,18.9,3,High,Foggy,Rural Road,Car,Monday,Afternoon,31.7
20.1,13.7,14,Medium,Clear,City Road,Bus,Friday,Evening,106.0
12.39,36.3,3,Medium,Foggy,Rural Road,Bike,Saturday,Night,27.5
4.74,30.5,9,Low,Clear,City Road,Car,Friday,Evening,13.7
23.76,63.1,8,Medium,Rainy,Highway,Bike,Saturday,Night,27.0
10.87,60.6,4,Medium,Clear,Highway,Car,Wednesday,Night,16.2
5.37,48.8,6,High,Clear,Highway,Car,Wednesday,Afternoon,21.7
29.06,53.0,10,High,Clear,Highway,Bus,Tuesday,Afternoon,52.8
9.89,78.9,6,Low,Clear,Highway,Car,Monday,Evening,16.2
7.22,24.6,5,High,Clear,Rural Road,Car,Tuesday,Morning,30.5
13.01,64.6,6,Low,Rainy,Highway,Car,Tuesday,Morning,17.1
5.74,8.0,8,High,Clear,City Road,Bus,Saturday,Morning,62.7
8.57,34.5,9,Low,Clear,City Road,Bike,Tuesday,Night,12.3
22.26,81.4,11,Low,Clear,Highway,Truck,Tuesday,Night,22.6
30.05,18.5,18,High,Clear,City Road,Car,Saturday,Night,114.2
10.02,73.0,4,Low,Clear,Highway,Bus,Thursday,Morning,15.6
14.54,70.5,5,Medium,Rainy,Highway,Bike,Tuesday,Afternoon,19.5
22.81,26.6,13,Medium,Clear,City Road,Car,Friday,Afternoon,63.3
9.85,60.9,6,Low,Foggy,Highway,Car,Tuesday,Morning,17.5
7.04,61.5,5,Medium,Clear,Highway,Bus,Saturday,Afternoon,14.9
16.03,56.1,7,High,Clear,Highway,Car,Monday,Afternoon,32.2
5.25,50.3,0,High,Foggy,Highway,Bike,Friday,Night,11.9
6.6,41.8,5,Low,Clear,Rural Road,Bike,Friday,Morning,9.7
4.67,74.2,5,Medium,Clear,Highway,Car,Wednesday,Night,10.2
21.92,44.2,10,Low,Stormy,Rural Road,Truck,Friday,Night,49.6
11.87,10.6,13,Low,Stormy,City Road,Bus,Wednesday,Morning,91.1
16.36,74.3,5,Low,Rainy,Highway,Car,Friday,Afternoon,20.2
6.86,62.9,4,High,Clear,Highway,Bike,Tuesday,Afternoon,16.3
14.23,8.2,9,High,Rainy,City Road,Car,Thursday,Night,118.4
14.5,8.0,13,High,Stormy,City Road,Bike,Saturday,Night,127.7
28.98,43.1,12,Medium,Stormy,Highway,Car,Sunday,Night,57.9
15.61,33.0,14,Medium,Clear,City Road,Car,Wednesday,Afternoon,35.8
18.14,47.6,9,Medium,Clear,Rural Road,Car,Thursday,Night,27.7
12.39,23.4,10,Medium,Clear,City Road,Car,Thursday,Night,43.3
2.25,17.2,6,Medium,Clear,City Road,Car,Sunday,Evening,17.2
13.54,67.0,5,Low,Rainy,Highway,Car,Sunday,Morning,21.0
10.39,38.5,9,Low,Clear,City Road,Truck,Friday,Afternoon,27.3
10.1,12.6,12,High,Clear,City Road,Car,Saturday,Morning,63.0
8.79,71.6,6,Medium,Clear,Highway,Car,Monday,Night,15.2
10.1,55.3,2,High,Clear,Highway,Car,Saturday,Afternoon,21.9
7.87,31.1,9,Low,Clear,City Road,Bike,Saturday,Evening,22.3
17.21,71.5,7,Medium,Clear,Highway,Car,Saturday,Afternoon,17.5
6.26,84.0,2,Low,Clear,Highway,Bike,Friday,Night,5.0
26.91,64.7,11,Low,Stormy,Highway,Bike,Sunday,Night,36.1
16.42,37.9,14,Low,Clear,City Road,Car,Friday,Afternoon,32.8
19.7,46.2,14,Low,Clear,City Road,Truck,Saturday,Afternoon,31.2
6.53,25.3,6,High,Clear,Rural Road,Car,Tuesday,Morning,23.7
8.44,73.9,3,Low,Clear,Highway,Bike,Friday,Morning,3.0
12.13,30.5,10,Medium,Clear,City Road,Car,Thursday,Night,33.4
11.49,47.5,5,Medium,Clear,Rural Road,Bike,Sunday,Night,18.4
16.45,20.8,12,Medium,Clear,City Road,Bus,Sunday,Night,68.2
11.51,63.2,6,Medium,Clear,Highway,Car,Saturday,Evening,17.0
27.69,72.2,12,Low,Rainy,Highway,Car,Tuesday,Morning,33.5
6.61,23.1,6,High,Clear,Rural Road,Car,Thursday,Morning,29.8
5.85,22.4,5,High,Clear,Rural Road,Car,Monday,Evening,29.4
8.21,19.0,8,Medium,Rainy,City Road,Truck,Sunday,Afternoon,42.0
10.12,64.5,3,Medium,Clear,Highway,Bike,Tuesday,Morning,14.6
20.64,31.0,14,Low,Clear,City Road,Bike,Friday,Morning,40.2
14.02,53.5,8,High,Clear,Highway,Truck,Thursday,Evening,25.3
2.49,75.7,2,Low,Clear,Highway,Bus,Sunday,Night,8.8
2.63,37.7,5,Low,Clear,City Road,Bus,Saturday,Afternoon,7.1
10.65,19.0,13,Low,Stormy,City Road,Car,Saturday,Night,52.3
8.98,8.0,10,High,Stormy,City Road,Car,Friday,Afternoon,90.1
10.82,8.0,10,Medium,Stormy,City Road,Car,Monday,Evening,96.9
10.12,8.0,8,High,Clear,City Road,Car,Sunday,Morning,94.5
25.5,11.5,11,High,Clear,Rural Road,Car,Monday,Evening,148.3
18.97,75.4,9,Low,Clear,Highway,Car,Thursday,Afternoon,17.4
8.46,57.6,5,High,Clear,Highway,Car,Wednesday,Night,21.6
11.39,47.6,5,Medium,Clear,Rural Road,Car,Wednesday,Afternoon,22.1
9.66,58.7,4,Medium,Clear,Highway,Car,Sunday,Morning,17.1
3.25,29.0,6,Low,Clear,City Road,Car,Tuesday,Morning,5.6
8.69,39.3,8,High,Clear,Rural Road,Car,Friday,Afternoon,28.3
8.75,93.5,5,Low,Clear,Highway,Car,Tuesday,Afternoon,7.8
7.69,77.7,3,Low,Rainy,Highway,Bike,Sunday,Afternoon,7.3
8.54,44.8,3,Medium,Clear,Rural Road,Bike,Saturday,Evening,13.6
9.76,76.9,5,Low,Foggy,Highway,Car,Wednesday,Night,11.0
14.64,83.1,5,Low,Clear,Highway,Car,Monday,Evening,14.7
8.04,43.5,4,Medium,Clear,Rural Road,Car,Tuesday,Afternoon,14.8
22.32,17.6,12,Medium,Clear,City Road,Car,Tuesday,Evening,85.0
6.57,39.2,3,High,Clear,Rural Road,Car,Wednesday,Night,19.8
20.27,27.2,13,Low,Clear,City Road,Truck,Sunday,Morning,55.1
13.39,16.9,10,Medium,Clear,City Road,Car,Monday,Morning,56.5
5.56,49.0,7,Medium,Rainy,Highway,Car,Friday,Morning,14.3
9.62,29.3,10,Medium,Clear,City Road,Bike,Wednesday,Night,23.0
26.03,35.1,9,Medium,Clear,Rural Road,Bike,Monday,Night,47.8
6.64,10.8,6,Medium,Foggy,City Road,Car,Friday,Afternoon,45.4
26.43,51.9,11,High,Clear,Highway,Car,Friday,Night,46.3
14.87,18.0,11,Low,Rainy,City Road,Truck,Sunday,Evening,61.2
13.51,60.3,9,Low,Clear,Rural Road,Car,Thursday,Night,14.4
14.4,30.0,11,Medium,Clear,City Road,Bike,Wednesday,Night,35.4
9.49,17.9,6,High,Clear,City Road,Bus,Saturday,Night,52.8
6.81,42.3,7,Low,Clear,City Road,Car,Tuesday,Afternoon,13.3
11.68,53.0,4,Medium,Rainy,Highway,Bike,Friday,Evening,19.7
13.78,26.9,7,High,Clear,Rural Road,Car,Sunday,Morning,43.0
15.24,47.3,6,Medium,Clear,Rural Road,Car,Monday,Night,24.4
14.92,13.4,11,High,Clear,City Road,Car,Sunday,Afternoon,85.2
17.02,9.6,10,Medium,Foggy,City Road,Truck,Tuesday,Afternoon,125.6
31.96,16.6,17,Medium,Rainy,City Road,Car,Thursday,Evening,124.7
13.15,55.7,6,Low,Stormy,Highway,Car,Tuesday,Night,29.0
21.69,40.9,11,High,Rainy,Highway,Truck,Tuesday,Evening,55.3
15.55,22.4,12,Medium,Rainy,City Road,Car,Friday,Night,54.5
33.82,55.2,12,Medium,Clear,Highway,Bus,Thursday,Evening,42.6
12.12,34.3,8,Medium,Foggy,Rural Road,Bike,Thursday,Night,31.5
11.4,23.0,10,Medium,Clear,City Road,Bike,Thursday,Evening,38.0
20.95,31.0,14,Medium,Clear,City Road,Bus,Saturday,Afternoon,55.9
20.97,22.7,12,Medium,Rainy,City Road,Bike,Sunday,Night,66.9
9.93,11.7,10,High,Clear,City Road,Car,Thursday,Afternoon,68.1
15.24,25.0,10,Medium,Clear,City Road,Truck,Tuesday,Evening,47.1
17.11,66.6,7,Medium,Clear,Highway,Truck,Wednesday,Afternoon,27.6
16.6,34.6,13,Low,Clear,City Road,Bus,Thursday,Afternoon,40.7
14.41,61.4,5,Medium,Foggy,Highway,Bike,Monday,Afternoon,23.6
4.03,49.7,3,Medium,Clear,Rural Road,Bike,Tuesday,Afternoon,9.4
16.73,46.0,8,Low,Foggy,Rural Road,Bike,Tuesday,Night,29.3
17.15,79.0,6,Low,Clear,Highway,Car,Sunday,Night,12.4
14.73,8.0,9,Medium,Rainy,City Road,Car,Wednesday,Evening,121.7
9.33,29.4,10,Medium,Clear,City Road,Bike,Sunday,Morning,27.3
24.63,8.0,14,Medium,Foggy,City Road,Bike,Thursday,Morning,200.1
6.73,49.9,4,Low,Clear,Rural Road,Car,Thursday,Morning,12.3
21.17,57.6,10,Low,Clear,Rural Road,Car,Sunday,Evening,25.1
6.68,40.7,9,Low,Clear,City Road,Bike,Friday,Night,11.1
19.78,16.5,13,High,Clear,City Road,Car,Tuesday,Afternoon,83.5
6.86,56.9,2,High,Clear,Highway,Truck,Tuesday,Afternoon,21.8
19.16,25.0,12,Low,Rainy,City Road,Bike,Friday,Evening,49.6
27.6,38.8,13,Medium,Stormy,Rural Road,Car,Monday,Night,63.3
27.66,27.8,16,Low,Rainy,City Road,Car,Tuesday,Afternoon,78.7
24.4,35.2,14,Low,Clear,City Road,Bike,Monday,Afternoon,40.0
12.08,30.4,9,Low,Clear,City Road,Car,Friday,Evening,29.2
8.46,36.7,10,Low,Foggy,City Road,Bus,Thursday,Night,29.8
2.34,8.0,6,Medium,Foggy,City Road,Car,Monday,Evening,30.9
11.04,24.2,7,High,Clear,Rural Road,Car,Saturday,Evening,36.6
20.31,19.4,14,Low,Stormy,City Road,Car,Friday,Evening,81.5
16.58,65.9,6,Medium,Clear,Highway,Bike,Saturday,Morning,18.2
35.5,23.1,20,Medium,Foggy,City Road,Truck,Tuesday,Night,108.1
8.94,8.0,9,High,Stormy,City Road,Bus,Sunday,Morning,97.6
28.63,23.5,16,Medium,,City Road,Car,Tuesday,Afternoon,89.2
11.52,37.7,7,Low,Clear,City Road,Bus,Thursday,Afternoon,23.6
6.67,14.7,7,Medium,Rainy,City Road,Car,Thursday,Evening,35.7
14.15,30.3,10,Low,Clear,City Road,Bike,Tuesday,Morning,29.6
16.36,26.6,7,High,Rainy,Rural Road,Truck,Wednesday,Morning,52.5
23.18,67.3,9,Medium,Clear,Highway,Car,Monday,Night,28.4
8.92,39.4,5,Medium,Rainy,Rural Road,Truck,Thursday,Afternoon,29.2
14.15,12.5,11,Low,Foggy,City Road,Car,Friday,Evening,78.5
12.2,62.7,4,Medium,Clear,Highway,Car,Wednesday,Evening,16.1
9.91,45.6,6,High,Clear,Highway,Bike,Thursday,Evening,23.9
27.05,17.4,18,Medium,Rainy,City Road,Truck,Sunday,Evening,115.1
16.48,25.5,11,Medium,Clear,City Road,Car,Tuesday,Evening,44.9
3.06,62.1,1,High,Clear,Highway,Bus,Wednesday,Night,18.6
14.27,61.7,5,High,Clear,Highway,Car,Monday,Night,21.8
4.58,39.7,8,Low,Clear,City Road,Bike,Thursday,Afternoon,9.4
